game_id,conditionScore,tempScore,windScore,snowScore,weatherScore,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,date_time,date
2000100200,0,0,0,0,0,2000,Arrowhead Stadium,10/2/2000 20:00,10/2/2000 23:15,-5,KC,Outdoor,-94.483889,39.048889,316.3,2000-10-02T20:00:00Z,2000-10-02
2000100800,0,0,0,0,0,2000,Hard Rock Stadium,10/8/2000 13:00,10/8/2000 15:55,-4,MIA,Outdoor,-80.238889,25.958056,302.1,2000-10-08T13:00:00Z,2000-10-08
2000100801,0,0,2.4408333333333334,0,2.4408333333333334,2000,Sun Devil Stadium,10/8/2000 13:15,10/8/2000 16:09,-7,ARI,Outdoor,-111.9325,33.42638889,14.2,2000-10-08T13:15:00Z,2000-10-08
2000100802,0,0,0.18500000000000005,0,0.18500000000000005,2000,Qualcomm Stadium,10/8/2000 13:15,10/8/2000 16:35,-7,SD,Outdoor,-117.119444,32.783056,291.6,2000-10-08T13:15:00Z,2000-10-08
2000100803,0,0,0,0,0,2000,Pontiac Silverdome,10/8/2000 13:00,10/8/2000 16:23,-4,DET,Indoor,-83.255,42.64583333,310,2000-10-08T13:00:00Z,2000-10-08
2000100804,0,0,1.1157142857142854,0,1.1157142857142854,2000,Foxboro Stadium,10/8/2000 13:00,10/8/2000 16:08,-4,NE,Outdoor,-71.267442,42.0927,353.7,2000-10-08T13:00:00Z,2000-10-08
2000100805,0,0,1.5142857142857142,0,1.5142857142857142,2000,Soldier Field,10/8/2000 12:00,10/8/2000 15:06,-5,CHI,Outdoor,-87.6167,41.8623,353.9,2000-10-08T12:00:00Z,2000-10-08
2000100806,0,0,0,0,0,2000,Georgia Dome,10/8/2000 16:05,10/8/2000 18:57,-4,ATL,Indoor,-84.401,33.758,90,2000-10-08T16:05:00Z,2000-10-08
2000100807,0,0,3.377857142857143,0,3.377857142857143,2000,Candlestick Park,10/8/2000 13:15,10/8/2000 17:05,-7,SF,Outdoor,-122.386111,37.713611,0,2000-10-08T13:15:00Z,2000-10-08
2000100808,0,0,0,0,0,2000,Giants Stadium,10/8/2000 13:00,10/8/2000 15:44,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-10-08T13:00:00Z,2000-10-08
2000100808,0,0,0,0,0,2000,Giants Stadium,10/8/2000 13:00,10/8/2000 15:44,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-10-08T13:00:00Z,2000-10-08
2000100809,0,0.006666666666666525,0,0,0.006666666666666525,2000,Bank of America Stadium,10/8/2000 16:15,10/8/2000 19:26,-4,CAR,Outdoor,-80.852778,35.225833,322.4,2000-10-08T16:15:00Z,2000-10-08
2000100810,0,0,0,0,0,2000,Paul Brown Stadium,10/8/2000 13:00,10/8/2000 16:00,-4,CIN,Outdoor,-84.516,39.095,320.6,2000-10-08T13:00:00Z,2000-10-08
2000100811,0,0,0.47857142857142854,0,0.47857142857142854,2000,Veterans Stadium,10/8/2000 13:00,10/8/2000 16:17,-4,PHI,Outdoor,-75.171111,39.906667,90,2000-10-08T13:00:00Z,2000-10-08
2000100812,0,0,3.3525,0,3.3525,2000,TIAA Bank Field,10/8/2000 20:20,10/8/2000 23:47,-4,JAX,Outdoor,-81.6375,30.323889,16.7,2000-10-08T20:20:00Z,2000-10-08
2000100900,0,0,0,0,0,2000,U.S. Bank Stadium,10/9/2000 20:00,10/9/2000 23:07,-5,MIN,Indoor,-93.258056,44.973889,309.9,2000-10-09T20:00:00Z,2000-10-09
2000101500,0,0,0,0,0,2000,The Dome at America's Center,10/15/2000 12:00,10/15/2000 15:23,-5,STL,Indoor,-90.188611,38.632778,15,2000-10-15T12:00:00Z,2000-10-15
2000101501,0,0,0.06166666666666668,0,0.06166666666666668,2000,FedExField,10/15/2000 13:00,10/15/2000 15:59,-4,WAS,Outdoor,-76.864444,38.907778,295,2000-10-15T13:00:00Z,2000-10-15
2000101502,0,0,0,0,0,2000,Mercedes-Benz Superdome,10/15/2000 12:00,10/15/2000 15:06,-5,NO,Indoor,-90.811111,29.950833,30,2000-10-15T12:00:00Z,2000-10-15
2000101503,0,0,0,0,0,2000,Three Rivers Stadium,10/15/2000 13:00,10/15/2000 16:13,-4,PIT,Outdoor,-80.012778,40.446667,0,2000-10-15T13:00:00Z,2000-10-15
2000101504,0,0,0.12333333333333336,0,0.12333333333333336,2000,Mile High Stadium,10/15/2000 14:05,10/15/2000 17:09,-6,DEN,Outdoor,-105.0216667,39.74611111,0,2000-10-15T14:05:00Z,2000-10-15
2000101505,0,0,0,0,0,2000,Giants Stadium,10/15/2000 13:00,10/15/2000 16:12,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-10-15T13:00:00Z,2000-10-15
2000101505,0,0,0,0,0,2000,Giants Stadium,10/15/2000 13:00,10/15/2000 16:12,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-10-15T13:00:00Z,2000-10-15
2000101506,0,0,0,0,0,2000,Husky Stadium,10/15/2000 13:05,10/15/2000 16:06,-7,SEA,Outdoor,-122.301667,47.650278,289.6,2000-10-15T13:05:00Z,2000-10-15
2000101507,0,0,0.8891666666666667,0,0.8891666666666667,2000,Foxboro Stadium,10/15/2000 16:05,10/15/2000 19:05,-4,NE,Outdoor,-71.267442,42.0927,353.7,2000-10-15T16:05:00Z,2000-10-15
2000101508,0,0,0,0,0,2000,Arrowhead Stadium,10/15/2000 12:00,10/15/2000 15:03,-5,KC,Outdoor,-94.483889,39.048889,316.3,2000-10-15T12:00:00Z,2000-10-15
2000101509,0,0,0,0,0,2000,Sun Devil Stadium,10/15/2000 13:15,10/15/2000 16:22,-7,ARI,Outdoor,-111.9325,33.42638889,14.2,2000-10-15T13:15:00Z,2000-10-15
2000101510,0,0,0,0,0,2000,New Era Field,10/15/2000 13:00,10/15/2000 16:38,-4,BUF,Outdoor,-78.787,42.774,302.1,2000-10-15T13:00:00Z,2000-10-15
2000101511,0,0,0,0,0,2000,Lambeau Field,10/15/2000 15:15,10/15/2000 18:24,-5,GB,Outdoor,-88.062222,44.501389,0,2000-10-15T15:15:00Z,2000-10-15
2000101512,0,0,0,0,0,2000,Soldier Field,10/15/2000 19:20,10/15/2000 22:29,-5,CHI,Outdoor,-87.6167,41.8623,353.9,2000-10-15T19:20:00Z,2000-10-15
2000101600,0,0,0,0,0,2000,Nissan Stadium,10/16/2000 20:00,10/16/2000 23:04,-5,TEN,Outdoor,-86.771389,36.166389,334.6,2000-10-16T20:00:00Z,2000-10-16
2000101900,0,0,0,0,0,2000,Raymond James Stadium,10/19/2000 20:20,10/19/2000 23:45,-4,TB,Outdoor,-82.503333,27.975833,0,2000-10-19T20:20:00Z,2000-10-19
2000102200,0,0,0,0,0,2000,Texas Stadium,10/22/2000 12:00,10/22/2000 14:59,-5,DAL,Indoor,-96.911,32.84,39.4,2000-10-22T12:00:00Z,2000-10-22
2000102201,0,0,0,0,0,2000,U.S. Bank Stadium,10/22/2000 12:00,10/22/2000 15:09,-5,MIN,Indoor,-93.258056,44.973889,309.9,2000-10-22T12:00:00Z,2000-10-22
2000102202,0,0,0,0,0,2000,Veterans Stadium,10/22/2000 13:00,10/22/2000 16:05,-4,PHI,Outdoor,-75.171111,39.906667,90,2000-10-22T13:00:00Z,2000-10-22
2000102203,0,0,0,0,0,2000,Three Rivers Stadium,10/22/2000 16:05,10/22/2000 19:03,-4,PIT,Outdoor,-80.012778,40.446667,0,2000-10-22T16:05:00Z,2000-10-22
2000102204,0,0,0,0,0,2000,Paul Brown Stadium,10/22/2000 13:00,10/22/2000 16:18,-4,CIN,Outdoor,-84.516,39.095,320.6,2000-10-22T13:00:00Z,2000-10-22
2000102205,0,0,0,0,0,2000,RCA Dome,10/22/2000 12:00,10/22/2000 15:05,-5,IND,Indoor,-86.16333333,39.76361111,90,2000-10-22T12:00:00Z,2000-10-22
2000102206,0,0,0,0,0,2000,Georgia Dome,10/22/2000 13:00,10/22/2000 15:55,-4,ATL,Indoor,-84.401,33.758,90,2000-10-22T13:00:00Z,2000-10-22
2000102207,1.7142857142857142,0,1.1428571428571428,0,2.857142857142857,2000,Arrowhead Stadium,10/22/2000 12:00,10/22/2000 15:29,-5,KC,Outdoor,-94.483889,39.048889,316.3,2000-10-22T12:00:00Z,2000-10-22
2000102208,0,0,0,0,0,2000,Bank of America Stadium,10/22/2000 13:00,10/22/2000 16:10,-4,CAR,Outdoor,-80.852778,35.225833,322.4,2000-10-22T13:00:00Z,2000-10-22
2000102209,0,0,3.2066666666666666,0,3.2066666666666666,2000,Oakland Coliseum,10/22/2000 13:05,10/22/2000 16:06,-7,OAK,Outdoor,-122.200556,37.751667,324.7,2000-10-22T13:05:00Z,2000-10-22
2000102210,0,0,0,0,0,2000,M&T Bank Stadium,10/22/2000 13:00,10/22/2000 16:07,-4,BAL,Outdoor,-76.622778,39.278056,289.5,2000-10-22T13:00:00Z,2000-10-22
2000102211,0,0,0.5266666666666667,0,0.5266666666666667,2000,TIAA Bank Field,10/22/2000 16:15,10/22/2000 19:19,-4,JAX,Outdoor,-81.6375,30.323889,16.7,2000-10-22T16:15:00Z,2000-10-22
2000102300,0,0,0,0,0,2000,Giants Stadium,10/23/2000 21:00,10/24/2000 1:10,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-10-23T21:00:00Z,2000-10-23
2000102300,0,0,0,0,0,2000,Giants Stadium,10/23/2000 21:00,10/24/2000 1:10,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-10-23T21:00:00Z,2000-10-23
2000102900,0,0,0,0,0,2000,Georgia Dome,10/29/2000 13:00,10/29/2000 16:07,-5,ATL,Indoor,-84.401,33.758,90,2000-10-29T13:00:00Z,2000-10-29
2000102901,0,0,0,0,0,2000,FirstEnergy Stadium,10/29/2000 13:00,10/29/2000 15:51,-5,CLE,Outdoor,-81.699444,41.506111,56.1,2000-10-29T13:00:00Z,2000-10-29
2000102902,0,0,0,0,0,2000,RCA Dome,10/29/2000 13:00,10/29/2000 16:21,-5,IND,Indoor,-86.16333333,39.76361111,90,2000-10-29T13:00:00Z,2000-10-29
2000102903,0,0,0.3185714285714286,0,0.3185714285714286,2000,Hard Rock Stadium,10/29/2000 13:00,10/29/2000 16:53,-5,MIA,Outdoor,-80.238889,25.958056,302.1,2000-10-29T13:00:00Z,2000-10-29
2000102904,0,0,0,0,0,2000,Texas Stadium,10/29/2000 15:15,10/29/2000 18:13,-6,DAL,Indoor,-96.911,32.84,39.4,2000-10-29T15:15:00Z,2000-10-29
2000102905,0,0,0,0,0,2000,Husky Stadium,10/29/2000 13:15,10/29/2000 16:25,-8,SEA,Outdoor,-122.301667,47.650278,289.6,2000-10-29T13:15:00Z,2000-10-29
2000102906,0,0,0,0,0,2000,Raymond James Stadium,10/29/2000 13:00,10/29/2000 16:00,-5,TB,Outdoor,-82.503333,27.975833,0,2000-10-29T13:00:00Z,2000-10-29
2000102907,0,0,0,0,0,2000,Sun Devil Stadium,10/29/2000 14:05,10/29/2000 17:07,-7,ARI,Outdoor,-111.9325,33.42638889,14.2,2000-10-29T14:05:00Z,2000-10-29
2000102908,0,0,1.0635714285714286,0,1.0635714285714286,2000,New Era Field,10/29/2000 13:00,10/29/2000 16:03,-5,BUF,Outdoor,-78.787,42.774,302.1,2000-10-29T13:00:00Z,2000-10-29
2000102909,1,1.008333333333334,0,0,2.008333333333334,2000,Giants Stadium,10/29/2000 16:05,10/29/2000 19:13,-5,NYG,Outdoor,-74.076944,40.812222,308,2000-10-29T16:05:00Z,2000-10-29
2000102909,1,1.008333333333334,0,0,2.008333333333334,2000,Giants Stadium,10/29/2000 16:05,10/29/2000 19:13,-5,NYJ,Outdoor,-74.076944,40.812222,308,2000-10-29T16:05:00Z,2000-10-29
2000102910,0,0,1.6341666666666665,0,1.6341666666666665,2000,M&T Bank Stadium,10/29/2000 13:00,10/29/2000 15:47,-5,BAL,Outdoor,-76.622778,39.278056,289.5,2000-10-29T13:00:00Z,2000-10-29
