Name,absolute_rating,difference_rating,scaled_rating,dif_scaled,g_mean,incl_c,count,abs_actual,g_abs_actual,act_difference_rating,std_abs,std_dif,std_scl,std_dif_scl,g_games,g_w_pct,incl_games,incl_w_pct,dif_win_pct,overall_score,important
"Flynn, Matt",15.450796131442571,38.78783489631134,5.846813089662868,29.183851854531632,-23.337038764868765,6,26,90.58333333333333,60.42,30.163333333333327,0.8388987962255491,2.3609758643075343,0.3488903943371467,2.6743566290091234,20,0.65,6,0.75,0.09999999999999998,1.5557804209698385,Good
"Gannon, Rich",19.188360343314585,11.058025838752233,12.530802420672313,4.40046791610996,8.130334504562352,6,58,95,91.925,3.075000000000003,1.0834028032502807,0.5801053413359749,0.9114820789408427,0.31430683374963353,52,0.6538461538461539,6,0.5,-0.15384615384615385,0.722324264319183,mid
"Harrington, Joey",-29.25344570516221,-16.161778050881754,-29.2423584701607,-16.150690815880242,-13.091667654280457,5,82,48.24,71.24415584415584,-23.00415584415584,-2.0855636719598154,-1.168011506042805,-2.6045667644892707,-1.642720426058358,77,0.37662337662337664,5,0,-0.37662337662337664,-1.8752155921375622,Bad
"Hasselbeck, Matt",-9.095178132157391,-8.352648135654464,-3.60236644765555,-2.8598364511526215,-0.7425299965029282,12,171,67.625,83.39811320754717,-15.77311320754717,-0.7668499544481264,-0.6664916705756135,-0.4464474751234996,-0.37707090054417886,159,0.5157232704402516,12,0.6666666666666666,0.15094339622641506,-0.5642150001728546,mid
"Kitna, Jon",-7.6339193220466,-4.146708277075362,-7.728219410783026,-4.241008365811789,-3.4872110449712372,7,116,68.31428571428572,80.63394495412844,-12.319659239842721,-0.6712573133270981,-0.3963767808557775,-0.7937207058248547,-0.5085958973932215,109,0.3394495412844037,7,0.42857142857142855,0.08912188728702486,-0.592487674350238,mid
"Manning, Eli",-1.2512476543375195,-1.5633278952724707,-4.6977443540777735,-5.0098245950127245,0.31208024093495124,16,287,75.98125,84.23579335793357,-8.25454335793357,-0.2537156445255199,-0.23046629939425273,-0.5386454830994758,-0.5818080377864028,271,0.5535055350553506,16,0.4375,-0.1160055350553506,-0.4011588662014128,mid
"Manning, Peyton",16.7132850298437,1.396147507381567,9.473381949363596,-5.843755573098537,15.317137522462133,7,232,93.9,99.59422222222223,-5.694222222222223,0.9214883055917859,-0.04040215228433073,0.6541388594483568,-0.6612208669215233,225,0.7377777777777778,7,0.7142857142857143,-0.023492063492063453,0.2185010364585722,mid
"McCown, Josh",15.938412550383417,28.451409614525247,0.24542989436409265,12.75842695850592,-12.512997064141828,4,76,91.2,71.47361111111111,19.72638888888889,0.8707976912180104,1.6971474528308639,-0.12257828280959714,1.1102110402052263,72,0.18055555555555555,4,0.5,0.3194444444444444,0.8888944753611259,mid
"Newton, Cam",7.383485065989023,3.092622798571675,8.132553364783014,3.8416910973656657,4.290862267417348,5,89,84.6,88.59761904761905,-3.997619047619054,0.31115137314371283,0.06854929533504911,0.5412812567791953,0.26109613742382726,84,0.5535714285714286,5,0.8,0.24642857142857144,0.2955195156704461,mid
"Orton, Kyle",-11.756118783668944,-11.165561855095909,-5.594892401972396,-5.004335473399361,-0.5905569285730351,8,83,62.7875,83.284,-20.496500000000005,-0.9409233923526772,-0.8471432977187149,-0.6141584749084747,-0.5812853246503774,75,0.48,8,0.75,0.27,-0.7458776224075611,mid
"Osweiler, Brock",15.493801028153216,28.4388473855969,19.175562068548974,32.12060842599266,-12.945046357443687,5,27,90.74,71.27272727272727,19.46727272727273,0.8417120909200022,1.6963406783177442,1.4707717993391578,2.954015442447372,22,0.6818181818181818,5,0.8,0.11818181818181828,1.7407100027560691,Good
"Palmer, Carson",-7.554213530073382,-13.424642440913306,-0.5368064086714064,-6.407235319511329,5.870428910839923,8,172,70.4125,89.91951219512195,-19.50701219512196,-0.6660431191579043,-0.9922265190257445,-0.18841914785126018,-0.7148794094134842,164,0.5152439024390244,8,0.375,-0.1402439024390244,-0.6403920488620983,mid
